cap_type,band,sex,dna_sex,age_1,date_1,loc_1,x_1,y_1,mass_1,date_2,loc_2,x_2,y_2,mass_2,dist,d_mass,d_time
ff,1833-03302,U,,HY,8/26/2015,2B,496229,4326665,53,9/3/2015,1A,495467,4327710,59.5,1.29,6.5,8
ff,1833-03304,F,M(!!),A,8/27/2015,3B,494664,4326925,62.5,9/2/2015,3B,494664,4326925,64,0,1.5,6
ff,1833-03311,F,,A,8/19/2015,3A,494731,4327142,58,8/24/2015,3B,494664,4326925,55,0.23,-3,5
ff,1833-03317,U,,HY,8/20/2015,2A,496203,4326751,54,8/28/2015,1A,495467,4327710,57,1.21,3,8
ff,1833-03319,U,,HY,8/25/2015,1A,495467,4327710,57.5,8/28/2015,1A,495467,4327710,57,0,-0.5,3
ff,1833-03320,U,M,HY,8/25/2015,1A,495467,4327710,48.5,9/2/2015,3B,494664,4326925,55,1.12,6.5,8
ff,1833-03322,U,F,HY,8/28/2015,1B,495338,4327627,56.5,9/5/2015,1A,495467,4327710,56.4,0.15,-0.1,8
ff,1833-03324,U,F,HY,8/31/2015,1A,495467,4327710,57,9/5/2015,1A,495467,4327710,62.8,0,5.8,5
ff,1833-03327,U,M,HY,8/31/2015,1B,495338,4327627,53,9/2/2015,3B,494664,4326925,54,0.97,1,2
ff,1783-74392,U,,HY,8/22/2016,3,494731,4327142,45.4,9/4/2016,3A,494731,4327142,52.5,0,7.1,13
ff,1783-74396,U,,HY,8/26/2016,1B,495338,4327627,60.4,9/11/2016,1A,495467,4327710,56.3,0.15,-4.1,16
ff,1783-74403,U,,A,9/2/2016,1B,495338,4327627,59.9,9/18/2016,3A,494731,4327142,62.9,0.78,3,16
ff,1783-74377,U,,HY,9/4/2016,3A,494731,4327142,54.8,9/10/2016,3B,494664,4326925,54.5,0.23,-0.3,6
