Prefix,Suffix,Index Band,Date,Year,Julian,Site,Shelf,Time,ID,Age,PAge,Sex,DNA SEX,DNASEX,Final Sex,Bleed,Feath,Mass 1,LWC,Rect,LP5,LP6,R Time,Temp,Time 2,Date 2,Site 2,Mass 2,Date 3,Site 3,Mass 3,Date 4,Site 4,Mass 4,LP1,LP2,LP3,LP4,LP5,LP6,LP7,LP8,LP9,LP10,RP1,RP2,RP3,RP4,RP5,RP6,RP7,RP8,RP9,RP10,Notes
1783,64546,1783-64546,9/10/2014,2014,253,1B,3,0:16,RA,A,A,M,0,#N/A,M,N,Y,61.5,130,64,96,106,0:37,,0:21,,,,,,,,,,1,0.5,2.5,2.5,2.5,2.5,2.5,2,M,M,1,0.5,2,2,2,2,2.5,2,M,M,A8_2014 M
1783,64565,1783-64565,8/29/2014,2014,241,2B,2,22:19,U,U,Y,U,0,M,M,Y,Y,53,131,64,101,110,0:47,,2:28,,,,,,,,,,3,3,3,2.5,2.5,2.5,1.5,1.5,1.5,1,3,3,3,2.5,2.5,2.5,1.5,1.5,1.5,1,
1783,64568,1783-64568,9/2/2014,2014,245,2B,2,0:00,U,Y,Y,U,0,M,M,,,55.5,138,63,101,111,0:54,,0:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,64569,1783-64569,9/2/2014,2014,245,2A,2,0:00,U,U,Y,U,0,F,F,Y,Y,59,132,63,99,107,0:34,,0:34,,,,,,,,,,3,3,3,3,3,3,3,3,3,1.5,3,3,3,3,3,3,3,2.5,2.5,1,
1783,64570,1783-64570,9/2/2014,2014,245,2A,1,0:50,U,U,Y,U,0,F,F,,,59,134,99,108,66,0:59,,0:09,9/9/2014,3,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,Escaped on first capture.
1783,64570,1783-64570,9/9/2014,2014,252,3B,1,1:21,F,U,,U,0,F,F,Y,Y,59.5,134,99,108,66,,,,,,,,,,,,,3,3,3,3,2.5,2.5,2.5,2,1.5,1,3,3,3,3,3,2.5,2.5,2,1.5,1,
1783,64580,1783-64580,9/11/2015,2015,254,1A,1,20:47,RY,2,2,U,0,M,M,N,Y,63.7,133,63,97,106,21:16,6,0:29,,,,,,,,,,0.5,0.5,2.5,2.5,2.5,2,2,2,1.5,1,0.5,0.5,2.5,2.5,2.5,2,2,2,1.5,1,A4_2014 Fledgling
1783,64587,1783-64587,9/13/2014,2014,256,1B,1,23:31,NR,Y,Y,U,0,M,M,N,Y,57.5,130,61,94,103,23:48,,0:17,,,,,,,,,,3,3,2.5,2.5,2,2,2,1.5,1.5,1,3,3,2.5,2.5,2,2,1.5,1.5,1.5,1,B13_2014 fledgling
1783,74347,1783-74347,8/22/2016,2016,235,3B,4,22:05,RA,A,A,F,F,#N/A,F,N,Y,68.5,137,31,94,76,22:50,,0:45,,,,,,,,,,1,3,3,3,3,M,M,0.5,0.5,0.5,1,3,3,3,3,M,M,M,0.5,0.5,Rects in molt. A20_2016 F. F vocal in net
1783,74351,1783-74351,8/26/2016,2016,239,1A,3,22:07,RY,Y,Y,U,M,#N/A,M,N,N,51.6,124,60,95,104,22:18,,0:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B12_2016 N. Eldest.
